subject,roi_a,roi_b,n_voxels_a,n_voxels_b,rdm_correlation
sub-01,otc,otc,6662,6662,0.9999999999999999
sub-01,otc,otc-streams,6662,5793,0.9895281835666828
sub-01,otc,otc-category,6662,4311,0.9289778977110097
sub-01,otc,laion-ventral,6662,3092,0.9280932146500491
sub-01,otc,laion-lateral,6662,2708,0.8912838808327844
sub-01,otc,v-objects,6662,545,0.6716500254291504
sub-01,otc,l-objects,6662,868,0.7723375319992807
sub-01,otc,OFA,6662,222,0.6620515653008227
sub-01,otc,FFA-1,6662,210,0.6031716794073699
sub-01,otc,FFA-2,6662,206,0.3663106271160408
sub-01,otc,EBA,6662,1042,0.7616150452113422
sub-01,otc,FBA,6662,256,0.5092840235694007
sub-01,otc,VWFA-1,6662,404,0.7716564569073663
sub-01,otc,VWFA-2,6662,170,0.39450428293630047
sub-01,otc,PPA,6662,798,0.6868809781375044
sub-01,otc,OPA,6662,1087,0.797933027834974
