split,variant,metric,metric_id,mean,median,min,max,n,subjects,models
splithalf,split-half,cRSA,crsa,0.20034887377109564,0.2010451555252075,-0.0514431707561016,0.3792308866977691,590,5,118
splithalf,split-half,veRSA,wrsa,0.38658241648708697,0.4386557638645172,-0.0890014097094535,0.6127176880836487,580,5,116
splithalf,split-half,SRPR,srpr,0.3824727542061635,0.4258777081925932,0.054441031947954,0.4859815153083346,590,5,118
splithalf_ood,split-half + OOD,cRSA,crsa,0.23901487249148706,0.2531138658523559,-0.2289903163909912,0.5472632050514221,585,5,117
splithalf_ood,split-half + OOD,veRSA,wrsa,0.5056559850819982,0.5274752378463745,-0.0278373006731271,0.6476306915283203,585,5,117
splithalf_ood,split-half + OOD,SRPR,srpr,0.3868478907374488,0.4221494162521199,0.0908445646918232,0.4749825715512216,585,5,117
random_agg,shared-image pool,cRSA,crsa,0.1917167611596071,0.1855253472924232,0.0102859005331993,0.4119681179523468,585,5,117
random_agg,shared-image pool,veRSA,wrsa,0.4226276230277657,0.4713343560695648,-0.0544770706444978,0.6205899596214295,585,5,117
random_agg,shared-image pool,SRPR,srpr,0.39864698415559935,0.4373294148523824,0.1107730407331857,0.4988115765842201,585,5,117
random_agg,subject-image pool,cRSA,crsa,0.17359472339463408,0.173276948928833,0.0141498632729053,0.3462533056735992,585,5,117
random_agg,subject-image pool,veRSA,wrsa,0.4223577508439397,0.4544870495796204,-0.0101668960647657,0.6249256491661072,585,5,117
random_agg,subject-image pool,SRPR,srpr,0.36636736719725216,0.3985374284623052,0.1329969557500546,0.4492192166673276,585,5,117
cluster_k5_agg,shared-image pool,cRSA,crsa,0.17119330475648115,0.1665522068738937,-0.035911369882524,0.4155748307704925,585,5,117
cluster_k5_agg,shared-image pool,veRSA,wrsa,0.31786255822907017,0.3384291887283325,-0.0738525062799453,0.498103928565979,585,5,117
cluster_k5_agg,shared-image pool,SRPR,srpr,0.30433922424158283,0.3372689324132216,0.0720152415647245,0.3923386628901017,585,5,117
cluster_k5_agg,subject-image pool,cRSA,crsa,0.16924434204821165,0.1675477534532547,0.0031011768151074,0.3420799076557159,585,5,117
cluster_k5_agg,subject-image pool,veRSA,wrsa,0.34355318562442066,0.3564730405807495,-0.0184900738298893,0.5220395743846893,585,5,117
cluster_k5_agg,subject-image pool,SRPR,srpr,0.2952384397045629,0.3249170600239459,0.0824173769704792,0.3762519926262117,585,5,117
tau,shared-image pool,cRSA,crsa,0.17186605902498142,0.1735465973615646,-0.0777863711118698,0.3880781233310699,585,5,117
tau,shared-image pool,veRSA,wrsa,0.3857959368272135,0.4050579965114593,-0.0504940189421176,0.6449310779571533,585,5,117
tau,shared-image pool,SRPR,srpr,0.38444130870978227,0.4214526446004969,0.0971245838625432,0.4876024380398096,585,5,117
tau,subject-image pool,cRSA,crsa,0.17083516251773406,0.169416069984436,0.0049115763977169,0.3303982019424438,585,5,117
tau,subject-image pool,veRSA,wrsa,0.4152521415438471,0.4468501806259155,-0.0209064707159996,0.6317012310028076,585,5,117
tau,subject-image pool,SRPR,srpr,0.3673441183273579,0.3998461447500694,0.1234652954736726,0.4459186287670382,585,5,117
ood,shared-image pool,cRSA,crsa,0.0806653202593458,0.0771483182907104,-0.3285084962844848,0.6390960216522217,585,5,117
ood,shared-image pool,veRSA,wrsa,0.21651129003506728,0.2261649072170257,-0.0398581475019454,0.6038832664489746,585,5,117
ood,shared-image pool,SRPR,srpr,0.3192741164712287,0.3471939435805033,-0.0371809361144404,0.4152661043578196,585,5,117
ood,subject-image pool,cRSA,crsa,0.07278343635993317,0.0628974065184593,-0.3285084962844848,0.6390960216522217,585,5,117
ood,subject-image pool,veRSA,wrsa,0.2298905846567299,0.2312568426132202,-0.0180297549813985,0.6199259161949158,585,5,117
ood,subject-image pool,SRPR,srpr,0.34336367332416334,0.3657615045351487,-0.0578587271990131,0.4325389225882478,585,5,117
