split,task,metric,conwell,split-half,split-half + OOD,shared-image pool,subject-image pool
splithalf,autoencoding,cRSA,"0.077 [0.066, 0.085]",0.040,,,
splithalf,autoencoding,wRSA/veRSA,"0.103 [0.096, 0.110]",-0.080,,,
splithalf,class_object,cRSA,"0.189 [0.178, 0.201]",0.087,,,
splithalf,class_object,wRSA/veRSA,"0.436 [0.419, 0.454]",0.239,,,
splithalf_ood,autoencoding,cRSA,"0.077 [0.066, 0.085]",,0.109,,
splithalf_ood,autoencoding,wRSA/veRSA,"0.103 [0.096, 0.110]",,0.064,,
splithalf_ood,class_object,cRSA,"0.189 [0.178, 0.201]",,0.175,,
splithalf_ood,class_object,wRSA/veRSA,"0.436 [0.419, 0.454]",,0.492,,
random_agg,autoencoding,cRSA,"0.077 [0.066, 0.085]",,,0.053,0.034
random_agg,autoencoding,wRSA/veRSA,"0.103 [0.096, 0.110]",,,-0.042,-0.002
random_agg,class_object,cRSA,"0.189 [0.178, 0.201]",,,0.118,0.117
random_agg,class_object,wRSA/veRSA,"0.436 [0.419, 0.454]",,,0.325,0.316
cluster_k5_agg,autoencoding,cRSA,"0.077 [0.066, 0.085]",,,0.057,0.042
cluster_k5_agg,autoencoding,wRSA/veRSA,"0.103 [0.096, 0.110]",,,-0.043,-0.005
cluster_k5_agg,class_object,cRSA,"0.189 [0.178, 0.201]",,,0.142,0.136
cluster_k5_agg,class_object,wRSA/veRSA,"0.436 [0.419, 0.454]",,,0.266,0.259
tau,autoencoding,cRSA,"0.077 [0.066, 0.085]",,,0.059,0.040
tau,autoencoding,wRSA/veRSA,"0.103 [0.096, 0.110]",,,-0.020,0.007
tau,class_object,cRSA,"0.189 [0.178, 0.201]",,,0.121,0.115
tau,class_object,wRSA/veRSA,"0.436 [0.419, 0.454]",,,0.250,0.300
ood,autoencoding,cRSA,"0.077 [0.066, 0.085]",,,0.016,0.016
ood,autoencoding,wRSA/veRSA,"0.103 [0.096, 0.110]",,,0.076,0.093
ood,class_object,cRSA,"0.189 [0.178, 0.201]",,,0.032,0.008
ood,class_object,wRSA/veRSA,"0.436 [0.419, 0.454]",,,0.236,0.181
